label,text,text1,text2
3,ceo pleads guilty fraud york reuters computer associates international lt href http investor reuters fullquote aspx ticker target stocks quickinfo fullquote gt lt gt chief executive sanjay kumar pleaded guilty thursday charges securities fraud obstruction justice year investigation accounting fraud company,ceo pleads guilty fruad york reuters computer associates international lt href http investor reuters fluqluote aspx ticker target stoksc quickinfo fullquote gt lt gt chief executive sanjay kumar pleaded ugilyt thursday chagrse securities fraud bsotrcution justice eyar investigation accounting fradu company,ceo pleads guilty fraud york reuters cmpouter associates international lt href http ivnsetor reuters fullquote aspx ticker atrgte tscoks quickinfo fullquote gt lt gt chief executive sanjay kumar pleaded guilty thursday charges securities rfaud obstruction justice year investigtiano accounitgn fraud company
3,microsoft offer windows flavor retail market windows client software microsoft corp developing customized variants windows embedded operating system specific markets,microsoft offer windows lfavro retail market windows client software microsoft crop developing customized variants windows emebdded operating system specific amrekts,microsoft offer windows lafvor retail market iwndosw client software microsoft corp developing ucstomizde variants windows embedded operating system specific amrktes
3,study amp neck stent effective surgery johnson amp johnson neck stent effective surgery clearing blocked blood vessels brain strokes death company funded study tomorrow england journal medicine,study amp neck tsent effective surgery ojnhson amp johnson neck stent effective surgery lcearnig blocked blodo vessels brain strokes death company funded tsudy tomorrow england journal medicine,stuyd amp neck stent effective surgery jhonsno amp johnson neck stent effective surgery clearing blocked lbood vessels rbain strokes death ocmpayn funded study toomrrwo england journal medicine
3,china richest york expanded list names top year required personal wealth year,china richest york expanded ilst names top yaer required personal waelht year,chian richest york expanded list names top eyar required personal wealth yera
3,amp cut constellation brands debt rating standard amp poor tuesday cut debt rating constellation brands stz quote profile deeper junk wine beer distributor launched unsolicited offer,amp cut ocnstlealtion brands debt rating standard amp opor tuesday cut debt artnig constellation brands stz quote profile deeper ujnk iwne eber distributor launched unsolicited offer,amp cut constellation brands debt artign standard amp poro tuesday cut debt aritng ocnstellation brands stz quote rpoflie deeper junk wnie beer distributor launched unsolicited offer
3,cisco systems st quarter earnings rise reuters reuters cisco systems biggest maker equipment directs data internet tuesday quarterly earnings rose percent rising demand networking gear,csico systems st quarter earnings ries reuters reuters cisco systems bgigset maker equipment drietcs data internet tuesday quarterly earnings rsoe percent rising demand networking gear,cisco ysstmes st quarter earnings rise reuters reuters cicso systems ibggset maker equipment directs data internet tusedya quarterly earnings rose percent rising demand networking gera
3,chrysler revs gm ford rivals automaker profit selling cars gains market share brett clanton detroit news chrysler ongoing recovery boost thursday automaker reported,chrysler rves gm ford rivals uatomakre profit selling cars gains amkret shaer brett clanton detroit news chrysler ongoing recovery boost thursday automaker reprotde,chrysler revs gm ford rivals automaker rpoift selling casr agins market share brett clanton detroit news chrysler ongoing recovery obost thursday automaker reported
3,fannie mae takes approach crisis independent probe throw top executives overboard,fannie mae takse parpoach crisis independent probe throw top executvise overboard,fannie mae takes approach ciriss niedpenednt probe throw top xeecutivse overboard
3,hidden fees bank accounts mortgages credit cards car loans buyer beware financial fees rise waiting blindside,hidden fees bakn accounts omrtgagse credit cards car loans buyer beware financial fees rise waintig blindside,hidden fees bank accounts mortgages credit cadrs car olans bueyr ebwrae financial fees rise waiting blindside
3,update italy treasury bln euros enel sale italian treasury raised billion euros billion sale percent utility company enel enei,update tialy rteausry bln euros enel sale italian treasury raised billion euros billion slae percent utility company enel eeni,update tialy treasury bln euros enel sale italian treasyur raised billion euros billion slae percent utilyit company enel enei
